model_label,query_variant,response_type,request_id,occurrence,bank_size,seed,split,gold_count,clean_exact,ranked_exact,random_exact_mean,ranked_damage,random_damage_mean,all_accuracy_damage_specificity,clean_correct_to_wrong_specificity,ranked_token_accuracy,random_token_accuracy_mean,token_accuracy_specificity
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1254,1,1,1254,confirmation,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1254,1,2,1254,confirmation,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1254,1,4,1254,confirmation,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1254,1,8,1254,confirmation,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1254,1,16,1254,confirmation,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1254,1,32,1254,confirmation,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1254,2,1,1254,confirmation,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1254,2,2,1254,confirmation,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1254,2,4,1254,confirmation,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1254,2,8,1254,confirmation,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
