model_label,family,k,target_direction,pair_instances,seed_clusters,average_patching_acc,ci95_low,ci95_high,patching_acc_successes,patching_acc_denominator,patching_acc_definition,post_patch_receiver_acc,patched_valid_rate,average_signed_count_shift_valid,bootstrap_repetitions
Qwen3-8B,prompt_patching,1,decrease,216,5,0.9907407407407407,0.9666666666666667,1.0,214,216,patched_count_equals_donor_gold_count,0.009259259259259259,1.0,-0.9907407407407407,10000
Qwen3-8B,prompt_patching,1,increase,216,5,0.9629629629629629,0.9222222222222223,0.9907407407407407,208,216,patched_count_equals_donor_gold_count,0.037037037037037035,1.0,0.9629629629629629,10000
Qwen3-8B,prompt_patching,3,decrease,276,5,0.782608695652174,0.782608695652174,0.782608695652174,216,276,patched_count_equals_donor_gold_count,0.15217391304347827,1.0,-2.4239130434782608,10000
Qwen3-8B,prompt_patching,3,increase,276,5,0.6521739130434783,0.5244565217391305,0.8304347826086956,180,276,patched_count_equals_donor_gold_count,0.12318840579710146,1.0,2.398550724637681,10000
Qwen3-8B,prompt_patching,5,decrease,220,5,0.8090909090909091,0.7909090909090909,0.8181818181818182,178,220,patched_count_equals_donor_gold_count,0.10909090909090909,1.0,-4.1909090909090905,10000
Qwen3-8B,prompt_patching,5,increase,220,5,0.75,0.6636363636363637,0.8272727272727273,165,220,patched_count_equals_donor_gold_count,0.1318181818181818,1.0,4.2318181818181815,10000
Qwen3-8B,answer_patching,1,decrease,282,5,1.0,1.0,1.0,282,282,patched_count_equals_donor_gold_count,0.0,1.0,-1.0,10000
Qwen3-8B,answer_patching,1,increase,282,5,0.9574468085106383,0.9276595744680851,0.9914893617021276,270,282,patched_count_equals_donor_gold_count,0.03546099290780142,0.9929078014184397,0.9642857142857143,10000
Qwen3-8B,answer_patching,3,decrease,306,5,0.9640522875816994,0.9333333333333333,0.9803921568627451,295,306,patched_count_equals_donor_gold_count,0.029411764705882353,1.0,-2.8986928104575163,10000
Qwen3-8B,answer_patching,3,increase,306,5,0.9509803921568627,0.9313725490196079,0.9725490196078431,291,306,patched_count_equals_donor_gold_count,0.00980392156862745,1.0,2.980392156862745,10000
Qwen3-8B,answer_patching,5,decrease,255,5,0.9803921568627451,0.9803921568627451,0.9803921568627451,250,255,patched_count_equals_donor_gold_count,0.011764705882352941,1.0,-4.909803921568628,10000
Qwen3-8B,answer_patching,5,increase,255,5,0.9411764705882353,0.8941176470588236,0.9803921568627451,240,255,patched_count_equals_donor_gold_count,0.011764705882352941,1.0,4.9411764705882355,10000
Gemma4-E4B,prompt_patching,1,decrease,204,5,0.9901960784313726,0.9647058823529412,1.0,202,204,patched_count_equals_donor_gold_count,0.00980392156862745,1.0,-0.9901960784313726,10000
Gemma4-E4B,prompt_patching,1,increase,204,5,0.9166666666666666,0.8125,1.0,187,204,patched_count_equals_donor_gold_count,0.08333333333333333,1.0,0.9166666666666666,10000
Gemma4-E4B,prompt_patching,3,decrease,170,5,0.9882352941176471,0.9647058823529412,1.0,168,170,patched_count_equals_donor_gold_count,0.0,1.0,-2.988235294117647,10000
Gemma4-E4B,prompt_patching,3,increase,170,5,0.9882352941176471,0.9647058823529412,1.0,168,170,patched_count_equals_donor_gold_count,0.0,1.0,2.988235294117647,10000
Gemma4-E4B,prompt_patching,5,decrease,170,5,0.9647058823529412,0.9411764705882353,0.9882352941176471,164,170,patched_count_equals_donor_gold_count,0.0,1.0,-4.9411764705882355,10000
Gemma4-E4B,prompt_patching,5,increase,170,5,0.6529411764705882,0.5352941176470588,0.7647058823529411,111,170,patched_count_equals_donor_gold_count,0.0,1.0,4.676470588235294,10000
Gemma4-E4B,answer_patching,1,decrease,342,5,0.9941520467836257,0.9789473684210527,1.0,340,342,patched_count_equals_donor_gold_count,0.005847953216374269,1.0,-0.9941520467836257,10000
Gemma4-E4B,answer_patching,1,increase,342,5,0.9766081871345029,0.9473684210526315,1.0,334,342,patched_count_equals_donor_gold_count,0.023391812865497075,1.0,0.9766081871345029,10000
Gemma4-E4B,answer_patching,3,decrease,300,5,0.9866666666666667,0.96,1.0,296,300,patched_count_equals_donor_gold_count,0.013333333333333334,1.0,-2.96,10000
Gemma4-E4B,answer_patching,3,increase,300,5,0.9266666666666666,0.9166666666666666,0.94,278,300,patched_count_equals_donor_gold_count,0.006666666666666667,1.0,2.97,10000
Gemma4-E4B,answer_patching,5,decrease,300,5,0.9766666666666667,0.9433333333333334,1.0,293,300,patched_count_equals_donor_gold_count,0.0,1.0,-4.93,10000
Gemma4-E4B,answer_patching,5,increase,300,5,0.8933333333333333,0.8533333333333334,0.9166666666666666,268,300,patched_count_equals_donor_gold_count,0.02,1.0,4.746666666666667,10000
