model_label,query_variant,response_type,bank_size,metric,primary_endpoint,seed_clusters,effect,ci95_low,ci95_high,sign_flip_p,sign_flip_method,sign_flip_assignments,holm_p_within_model,holm_p_pooled_primary_family
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,1,all_accuracy_damage_specificity,True,2,0.0,0.0,0.0,1.0,exact_enumeration,4,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,1,clean_correct_to_wrong_specificity,True,2,0.0,0.0,0.0,1.0,exact_enumeration,4,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,1,token_accuracy_specificity,False,2,0.0,0.0,0.0,1.0,exact_enumeration,4,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,2,all_accuracy_damage_specificity,True,2,0.0,0.0,0.0,1.0,exact_enumeration,4,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,2,clean_correct_to_wrong_specificity,True,2,0.0,0.0,0.0,1.0,exact_enumeration,4,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,2,token_accuracy_specificity,False,2,0.0,0.0,0.0,1.0,exact_enumeration,4,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,4,all_accuracy_damage_specificity,True,2,0.0,0.0,0.0,1.0,exact_enumeration,4,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,4,clean_correct_to_wrong_specificity,True,2,0.0,0.0,0.0,1.0,exact_enumeration,4,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,4,token_accuracy_specificity,False,2,0.0,0.0,0.0,1.0,exact_enumeration,4,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,8,all_accuracy_damage_specificity,True,2,0.0,0.0,0.0,1.0,exact_enumeration,4,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,8,clean_correct_to_wrong_specificity,True,2,0.0,0.0,0.0,1.0,exact_enumeration,4,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,8,token_accuracy_specificity,False,2,0.0,0.0,0.0,1.0,exact_enumeration,4,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,16,all_accuracy_damage_specificity,True,2,1.0,1.0,1.0,0.5,exact_enumeration,4,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,16,clean_correct_to_wrong_specificity,True,2,1.0,1.0,1.0,0.5,exact_enumeration,4,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,16,token_accuracy_specificity,False,2,1.0,1.0,1.0,0.5,exact_enumeration,4,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,32,all_accuracy_damage_specificity,True,2,1.0,1.0,1.0,0.5,exact_enumeration,4,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,32,clean_correct_to_wrong_specificity,True,2,1.0,1.0,1.0,0.5,exact_enumeration,4,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,32,token_accuracy_specificity,False,2,1.0,1.0,1.0,0.5,exact_enumeration,4,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,pooled_cross_response_types,1,all_accuracy_damage_specificity,True,21,0.0008818342151675487,0.0,0.0026455026455026462,1.0,deterministic_monte_carlo,1000000,1.0,1.0
Gemma4-E4B,response_reference_pre_reference_d1,pooled_cross_response_types,1,clean_correct_to_wrong_specificity,True,21,0.0008818342151675487,0.0,0.0026455026455026462,1.0,deterministic_monte_carlo,1000000,1.0,1.0
Gemma4-E4B,response_reference_pre_reference_d1,pooled_cross_response_types,1,token_accuracy_specificity,False,21,0.0008377425044091712,0.0,0.0025132275132275137,1.0,deterministic_monte_carlo,1000000,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,pooled_cross_response_types,2,all_accuracy_damage_specificity,True,21,0.0005377199612788611,-0.025396825396825397,0.025010674835236228,0.9706670293329707,deterministic_monte_carlo,1000000,1.0,1.0
Gemma4-E4B,response_reference_pre_reference_d1,pooled_cross_response_types,2,clean_correct_to_wrong_specificity,True,21,0.00036135311824535114,-0.0256062775987588,0.024442720558008772,0.9767340232659767,deterministic_monte_carlo,1000000,1.0,1.0
Gemma4-E4B,response_reference_pre_reference_d1,pooled_cross_response_types,2,token_accuracy_specificity,False,21,0.0006610205560706771,-0.025331183655235977,0.024775991317579654,0.9515030484969516,deterministic_monte_carlo,1000000,1.0,
Gemma4-E4B,response_reference_pre_reference_d1,pooled_cross_response_types,4,all_accuracy_damage_specificity,True,21,0.041246303589661984,-0.00451672335600907,0.08834735648645421,0.10234789765210235,deterministic_monte_carlo,1000000,1.0,0.5331774668225331
Gemma4-E4B,response_reference_pre_reference_d1,pooled_cross_response_types,4,clean_correct_to_wrong_specificity,True,21,0.042480871490896556,-0.000562368222142657,0.08799292377769823,0.08886291113708886,deterministic_monte_carlo,1000000,1.0,0.5331774668225331
