model_label,population,layer,normalized_depth,endpoint,examples,seeds,mean_effect,bootstrap_95ci_low,bootstrap_95ci_high,exact_seed_signflip_p_two_sided,seed_effect_min,seed_effect_max,holm_p_within_model_population_endpoint,significant_holm_0_05
Gemma4-E4B,all,0,0.0,absolute_error_specificity,90,10,0.01111111111111111,-0.02222222222222222,0.04444444444444444,1.0,-0.1111111111111111,0.1111111111111111,1.0,False
Gemma4-E4B,all,0,0.0,accuracy_damage_specificity,90,10,-0.01111111111111111,-0.03333333333333333,0.0,1.0,-0.1111111111111111,0.0,1.0,False
Gemma4-E4B,all,4,0.0975609756097561,absolute_error_specificity,90,10,-0.01111111111111111,-0.03333333333333333,0.0,1.0,-0.1111111111111111,0.0,1.0,False
Gemma4-E4B,all,4,0.0975609756097561,accuracy_damage_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Gemma4-E4B,all,8,0.1951219512195122,absolute_error_specificity,90,10,0.02222222222222222,0.0,0.05555555555555556,0.5,0.0,0.1111111111111111,1.0,False
Gemma4-E4B,all,8,0.1951219512195122,accuracy_damage_specificity,90,10,0.01111111111111111,0.0,0.03333333333333333,1.0,0.0,0.1111111111111111,1.0,False
Gemma4-E4B,all,9,0.2195121951219512,absolute_error_specificity,90,10,0.0,-0.04444444444444444,0.04444444444444444,1.0,-0.1111111111111111,0.1111111111111111,1.0,False
Gemma4-E4B,all,9,0.2195121951219512,accuracy_damage_specificity,90,10,0.01111111111111111,0.0,0.03333333333333333,1.0,0.0,0.1111111111111111,1.0,False
Gemma4-E4B,all,12,0.2926829268292683,absolute_error_specificity,90,10,0.01111111111111111,0.0,0.03333333333333333,1.0,0.0,0.1111111111111111,1.0,False
Gemma4-E4B,all,12,0.2926829268292683,accuracy_damage_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Gemma4-E4B,all,16,0.3902439024390244,absolute_error_specificity,90,10,0.0,-0.04444444444444444,0.04444444444444444,1.0,-0.1111111111111111,0.1111111111111111,1.0,False
Gemma4-E4B,all,16,0.3902439024390244,accuracy_damage_specificity,90,10,-0.01111111111111111,-0.03333333333333333,0.0,1.0,-0.1111111111111111,0.0,1.0,False
Gemma4-E4B,all,20,0.4878048780487805,absolute_error_specificity,90,10,-0.01111111111111111,-0.03333333333333333,0.0,1.0,-0.1111111111111111,0.0,1.0,False
Gemma4-E4B,all,20,0.4878048780487805,accuracy_damage_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Gemma4-E4B,all,24,0.5853658536585366,absolute_error_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Gemma4-E4B,all,24,0.5853658536585366,accuracy_damage_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Gemma4-E4B,all,28,0.6829268292682927,absolute_error_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Gemma4-E4B,all,28,0.6829268292682927,accuracy_damage_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Gemma4-E4B,all,32,0.7804878048780488,absolute_error_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Gemma4-E4B,all,32,0.7804878048780488,accuracy_damage_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Gemma4-E4B,all,36,0.8780487804878049,absolute_error_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Gemma4-E4B,all,36,0.8780487804878049,accuracy_damage_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Gemma4-E4B,all,40,0.975609756097561,absolute_error_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Gemma4-E4B,all,40,0.975609756097561,accuracy_damage_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Gemma4-E4B,all,41,1.0,absolute_error_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Gemma4-E4B,all,41,1.0,accuracy_damage_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Qwen3-8B,all,0,0.0,absolute_error_specificity,90,10,-0.02222222222222222,-0.05555555555555556,0.0,0.5,-0.1111111111111111,0.0,1.0,False
Qwen3-8B,all,0,0.0,accuracy_damage_specificity,90,10,-0.01111111111111111,-0.03333333333333333,0.0,1.0,-0.1111111111111111,0.0,1.0,False
Qwen3-8B,all,4,0.1142857142857142,absolute_error_specificity,90,10,-0.02222222222222222,-0.06666666666666667,0.0,1.0,-0.2222222222222222,0.0,1.0,False
Qwen3-8B,all,4,0.1142857142857142,accuracy_damage_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Qwen3-8B,all,8,0.2285714285714285,absolute_error_specificity,90,10,0.0,-0.07777777777777777,0.08888888888888888,1.0,-0.2222222222222222,0.3333333333333333,1.0,False
Qwen3-8B,all,8,0.2285714285714285,accuracy_damage_specificity,90,10,-0.01111111111111111,-0.03333333333333333,0.0,1.0,-0.1111111111111111,0.0,1.0,False
Qwen3-8B,all,12,0.3428571428571428,absolute_error_specificity,90,10,0.05555555555555556,0.0,0.11111111111111112,0.25,0.0,0.2222222222222222,1.0,False
Qwen3-8B,all,12,0.3428571428571428,accuracy_damage_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Qwen3-8B,all,16,0.4571428571428571,absolute_error_specificity,90,10,0.02222222222222222,0.0,0.06666666666666667,1.0,0.0,0.2222222222222222,1.0,False
Qwen3-8B,all,16,0.4571428571428571,accuracy_damage_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Qwen3-8B,all,20,0.5714285714285714,absolute_error_specificity,90,10,0.01111111111111111,-0.03333333333333333,0.06666666666666667,1.0,-0.1111111111111111,0.2222222222222222,1.0,False
Qwen3-8B,all,20,0.5714285714285714,accuracy_damage_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Qwen3-8B,all,24,0.6857142857142857,absolute_error_specificity,90,10,-0.01111111111111111,-0.07777777777777777,0.05555555555555556,1.0,-0.2222222222222222,0.2222222222222222,1.0,False
Qwen3-8B,all,24,0.6857142857142857,accuracy_damage_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Qwen3-8B,all,28,0.8,absolute_error_specificity,90,10,0.02222222222222222,0.0,0.06666666666666667,1.0,0.0,0.2222222222222222,1.0,False
Qwen3-8B,all,28,0.8,accuracy_damage_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Qwen3-8B,all,32,0.9142857142857144,absolute_error_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Qwen3-8B,all,32,0.9142857142857144,accuracy_damage_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Qwen3-8B,all,35,1.0,absolute_error_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Qwen3-8B,all,35,1.0,accuracy_damage_specificity,90,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
Gemma4-E4B,clean_correct,0,0.0,absolute_error_specificity,26,10,-0.03333333333333333,-0.1,0.0,1.0,-0.3333333333333333,0.0,1.0,False
Gemma4-E4B,clean_correct,0,0.0,accuracy_damage_specificity,26,10,-0.03333333333333333,-0.1,0.0,1.0,-0.3333333333333333,0.0,1.0,False
Gemma4-E4B,clean_correct,4,0.0975609756097561,absolute_error_specificity,26,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
