model_label,feature_set,target,model,rows,groups,heldout_r2_log1p,heldout_mae_log1p,numeric_factors,categorical_factors,post_outcome_diagnostic,feature_order,incremental_r2
Gemma4-E4B,count_only,count_axis_deviation_abs,elastic_net,1270,10,0.08840508313059514,0.49754177128634003,"[""running_index""]",[],False,0,
Gemma4-E4B,plus_endpoint_position,count_axis_deviation_abs,elastic_net,1270,10,0.1631408803903741,0.47025177304740373,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap""]",[],False,1,0.07473579725977897
Gemma4-E4B,plus_content_context,count_axis_deviation_abs,elastic_net,1270,10,0.16336334434252453,0.4714793423958706,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed""]","[""city"", ""haystack_source_mode"", ""haystack_source_files""]",False,2,0.00022246395215042014
Gemma4-E4B,plus_outcome_diagnostic,count_axis_deviation_abs,elastic_net,1270,10,0.16336334434252453,0.4714793423958706,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed"", ""absolute_deviation""]","[""city"", ""haystack_source_mode"", ""haystack_source_files"", ""baseline_correct"", ""predicted_count""]",True,3,0.0
Gemma4-E4B,count_only,count_axis_deviation_abs,extra_trees,1270,10,0.2763182755582515,0.4294803604836791,"[""running_index""]",[],False,0,
Gemma4-E4B,plus_endpoint_position,count_axis_deviation_abs,extra_trees,1270,10,0.43802773764973846,0.365518540092576,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap""]",[],False,1,0.16170946209148696
Gemma4-E4B,plus_content_context,count_axis_deviation_abs,extra_trees,1270,10,0.3290591316451599,0.41368898570502727,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed""]","[""city"", ""haystack_source_mode"", ""haystack_source_files""]",False,2,-0.10896860600457858
Gemma4-E4B,plus_outcome_diagnostic,count_axis_deviation_abs,extra_trees,1270,10,0.3312784268025799,0.4129277971516993,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed"", ""absolute_deviation""]","[""city"", ""haystack_source_mode"", ""haystack_source_files"", ""baseline_correct"", ""predicted_count""]",True,3,0.0022192951574200315
Gemma4-E4B,count_only,count_axis_deviation_abs,hist_gradient_boosting,1270,10,0.27631827567052647,0.4294803606121473,"[""running_index""]",[],False,0,
Gemma4-E4B,plus_endpoint_position,count_axis_deviation_abs,hist_gradient_boosting,1270,10,0.44959450645204513,0.3455878498354225,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap""]",[],False,1,0.17327623078151866
Gemma4-E4B,plus_content_context,count_axis_deviation_abs,hist_gradient_boosting,1270,10,0.5322397073311032,0.32330078761209646,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed""]","[""city"", ""haystack_source_mode"", ""haystack_source_files""]",False,2,0.08264520087905802
Gemma4-E4B,plus_outcome_diagnostic,count_axis_deviation_abs,hist_gradient_boosting,1270,10,0.5322397073311032,0.32330078761209646,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed"", ""absolute_deviation""]","[""city"", ""haystack_source_mode"", ""haystack_source_files"", ""baseline_correct"", ""predicted_count""]",True,3,0.0
Gemma4-E4B,count_only,count_axis_deviation_abs,random_forest,1270,10,0.27608517033837965,0.4295426595036884,"[""running_index""]",[],False,0,
Gemma4-E4B,plus_endpoint_position,count_axis_deviation_abs,random_forest,1270,10,0.4954619018541795,0.3281055820364149,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap""]",[],False,1,0.21937673151579984
Gemma4-E4B,plus_content_context,count_axis_deviation_abs,random_forest,1270,10,0.4963865994573645,0.3440838287430155,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed""]","[""city"", ""haystack_source_mode"", ""haystack_source_files""]",False,2,0.0009246976031850318
Gemma4-E4B,plus_outcome_diagnostic,count_axis_deviation_abs,random_forest,1270,10,0.49499630290638563,0.3447363891005262,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed"", ""absolute_deviation""]","[""city"", ""haystack_source_mode"", ""haystack_source_files"", ""baseline_correct"", ""predicted_count""]",True,3,-0.0013902965509788867
Gemma4-E4B,count_only,noise_orthogonal_rms,elastic_net,1270,10,0.03579561009258336,0.05045833892628641,"[""running_index""]",[],False,0,
Gemma4-E4B,plus_endpoint_position,noise_orthogonal_rms,elastic_net,1270,10,0.07378341818385781,0.048513197878870956,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap""]",[],False,1,0.037987808091274444
Gemma4-E4B,plus_content_context,noise_orthogonal_rms,elastic_net,1270,10,0.20570315288065089,0.04553422547550224,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed""]","[""city"", ""haystack_source_mode"", ""haystack_source_files""]",False,2,0.13191973469679308
Gemma4-E4B,plus_outcome_diagnostic,noise_orthogonal_rms,elastic_net,1270,10,0.20570315288065089,0.04553422547550224,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed"", ""absolute_deviation""]","[""city"", ""haystack_source_mode"", ""haystack_source_files"", ""baseline_correct"", ""predicted_count""]",True,3,0.0
Gemma4-E4B,count_only,noise_orthogonal_rms,extra_trees,1270,10,0.24693891644831079,0.04513683068335513,"[""running_index""]",[],False,0,
Gemma4-E4B,plus_endpoint_position,noise_orthogonal_rms,extra_trees,1270,10,0.3530450760869668,0.04011898320743278,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap""]",[],False,1,0.106106159638656
Gemma4-E4B,plus_content_context,noise_orthogonal_rms,extra_trees,1270,10,0.3576657859991764,0.04120242030998828,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed""]","[""city"", ""haystack_source_mode"", ""haystack_source_files""]",False,2,0.004620709912209642
