sha256	bytes	path
83777a549a529b0c6ee1f3b5cd63e3184166409be59b969fee51664dcb413cbc	62591	01_prompt_accuracy_report.html
996bc5a649c161068cdd2a8b2d4d6ee3bf66cb78527ac9b713c07264039c863e	69378	02_bias_law_report.html
dad7f109f7eba2b42500b28d258a1bf79dae807cec2b0a96f28077d5255ce97f	108421	figures/bias/01_selected_law_quality.png
cfb1c01959dc2f0596372d0c41c5ec5ce469b9f9bd7dd884ee899f028674d9a8	73916	figures/bias/02_native_commonality.png
1b5bbcc41c384662d88dcbd851e19784d14bb58f5735daa9bf41f5b7aeb76789	497263	figures/bias/03_relative_bias_fallbacks.png
879a9016398ff0f5115e098df9b1c6349577e3f1f537b6a8b2249c12df6d0cdd	94695	figures/bias/model_deepseek-r1-0528-qwen3-8b.png
e0c56ecaecaa9738ebb56bcd6bdb61d6058209f43e025b11060b4a4ce933fe0a	373262	figures/bias/model_gemma4-12b.png
bbb8199527c2cbd8cfd5fad19ec78db527583c049eb3ffa65e2b36e759100288	361091	figures/bias/model_gemma4-e4b.png
2b85896784aabb9c6515bfdd2c079840387d8a4e144b1aca3d77fd664ce58ee9	272906	figures/bias/model_glm-4-9b-0414.png
1863c6ce0aa8d90af088164a344eee7053cb6fa1b71d43d9ee9113cee95160bd	118500	figures/bias/model_glm-z1-9b-0414.png
a40f65c738935bfa7508ec7e12c9864bd3b1ee92e677a63d5b2ba55ab014450b	352358	figures/bias/model_qwen3-17b.png
078e8433b2741b080926fd452f3bc2655e14afc3239b4f41db7ede15dbcd68e4	318644	figures/bias/model_qwen3-32b.png
eac5e396cef2a0950a6173d975fcb10eccb45bcaa60de55a17a53e729f6907fa	338951	figures/bias/model_qwen3-4b.png
150e8d7fa5adff508e161e8070195416fb62341bc4f00bfbbc65aaf55727996a	350824	figures/bias/model_qwen3-8b.png
bb4bd73b828eafe52dfb40a45e62a97473b543dc36baad7456a611f5c49b2bbb	135736	figures/prompt/01_accuracy_heatmap.png
e4b9590715000024d4089a171da551ad3c9b2aee2ab655249b5b121475b037b9	467294	figures/prompt/02_accuracy_by_N.png
9d6d8d9be49083e655d44bca0d6e6fe0601ee3d5e78bbb0e00281570da4f9609	385093	figures/prompt/03_accuracy_by_L.png
c26208b251113353f81a4b8e0ddafe659bdda721be42cd9e10c702b302843c59	149425	figures/prompt/04_failure_budget.png
b58513e88409cf2922b93ef6f95bed2b93a60e36762affff45a11be422628e92	44062	figures/prompt/05_gemma_direct_prompt_intervention.png
e4beb60e3a4e4477685f7e55ffb1317e72f3d66af81bc39ace06a5891d92b04d	866	README.md
38cb087b3f4d05b7c536dea7a7036ae58678e88e4d666300c2fa0235314b3fb9	95681	scripts/build_v2_reports.py
396a739867dcffdb38db8442c8969a38bcc612aaf89dcdcba56648296f4ab28b	353704	tables/bias/candidate_law_comparison.csv
a6e77bef4dcd465d66ae53ac5bf70b1072069544ba9fa988db5ec3f60f19c171	312390	tables/bias/cell_targets_and_predictions.csv
1582524d52a70f276396ef723a45b7c7a326725e2f871ec597ac8a1b7909cd44	5281	tables/bias/common_bilinear_diagnostics.csv
8f503b50137635a93536219533029a0b38f867526c23baae2261520c5ab6473c	2905	tables/bias/qwen_common_bilinear_by_mode.csv
e733c09c5cf1208a772f5edb331ea772f68804a8477431df39bdbec0c3178ed2	4484	tables/bias/relative_bias_fallbacks.csv
c0b9c0d282e8ae07333528743711818c07752e20e04da260b0353c3d25610886	26871	tables/bias/selected_coefficients.csv
df7a89c47df596d6c19dab474bde33a21195021a59fa00c7787ee65fdcb95d78	23487	tables/bias/selected_laws.csv
1900b513f1d759cd0c715b525571e92df0ae431516586d74fe3649bfda5f7ef6	4590477	tables/bias/selected_oof_predictions.csv
43f54571e16f485bd3bb20a8f9642322894a158eae4d891ac997ec860112d9bf	6053	tables/prompt/accuracy_by_L.csv
7bc6e5e4b7cdc611a4563dafcebb552729034b84044873c0b5bd94261b21f3c8	10849	tables/prompt/accuracy_by_N.csv
72b1e9b7da361ad3906bf0a74dda843effd82030db1a6c7c8886ad684d175b6a	4536	tables/prompt/failure_budget.csv
4fe1d86314f5abc422838ff75c9b36084932e76fd7f8794a97663b4893b07c2d	4891	tables/prompt/model_mode_summary.csv
1f17d4d50b76c801bbe10dca5abf8a7f86db3af1d3c8e48ec66c2235a754cf8a	3849	tables/prompt/paired_mode_effects.csv
f0b7dbdd9958f9a253fff1b5d6ce9961e4bc0c54b506257110d4913e8eb8285e	6846	tables/prompt/representative_errors.csv
e641bd6cfadaf56102a57a2953570277c23ec8384d11ad093b86305257ac9930	10617207	tables/request_level_compact.csv
